totcost,output,plabor,pfuel,pkap,log_totcost,log_output,log_plabor,log_pkap,log_pfuel,y_bar,x_second,x_third
.082000002,2,2.0899999,17.9,183,-2.5010359,.69314718,.73716402,5.209486,2.8848007,-5.3858366,-2.1476367,2.3246853
.66100001,3,2.05,35.099998,174,-.41400141,1.0986123,.71783978,5.1590552,3.5582011,-3.9722025,-2.8403614,1.6008542
.99000001,4,2.05,35.099998,171,-.010050327,1.3862944,.71783978,5.1416636,3.5582011,-3.5682514,-2.8403614,1.5834625
.315,4,1.83,32.200001,166,-1.1551826,1.3862944,.604316,5.1119876,3.4719665,-4.6271491,-2.8676505,1.6400211
.197,5,2.1199999,28.6,233,-1.6245515,1.6094379,.75141603,5.4510384,3.3534067,-4.9779582,-2.6019907,2.0976317
.097999997,9,2.1199999,28.6,195,-2.3227878,2.1972246,.75141603,5.2729998,3.3534067,-5.6761942,-2.6019907,1.9195931
.949,11,1.98,35.5,206,-.052346479,2.3978953,.68309683,5.3278761,3.5695326,-3.6218791,-2.8864357,1.7583435
.67500001,13,2.05,35.099998,150,-.39304256,2.5649493,.71783978,5.0106354,3.5582011,-3.9512436,-2.8403614,1.4524343
.52499998,13,2.1900001,29.1,155,-.64435709,2.5649493,.78390157,5.0434251,3.3707383,-4.0150952,-2.5868368,1.6726868
.50099999,22,1.72,15,188,-.69114918,3.0910425,.5423243,5.2364421,2.7080503,-3.3991995,-2.1657259,2.5283918
1.194,25,2.0899999,17.9,170,.17730902,3.2188759,.73716402,5.1357985,2.8848007,-2.7074916,-2.1476367,2.2509978
.67000002,25,1.6799999,39.700001,167,-.40047753,3.2188759,.51879376,5.1179938,3.6813512,-4.0818286,-3.1625574,1.4366426
.34900001,35,1.8099999,22.6,213,-1.0526834,3.5553482,.59332681,5.3612924,3.11795,-4.1706333,-2.5246232,2.2433424
.42300001,39,2.3,23.6,164,-.86038309,3.6635616,.83290911,5.0998664,3.1612468,-4.0216298,-2.3283377,1.9386196
.50099999,43,1.75,42.799999,170,-.69114918,3.7612002,.55961579,5.1357985,3.7565382,-4.4476871,-3.1969223,1.3792603
.55000001,63,1.76,10.3,161,-.59783697,4.1431346,.56531382,5.0814042,2.332144,-2.929981,-1.7668302,2.7492602
.79500002,68,1.98,35.5,210,-.22941314,4.2195077,.68309683,5.3471074,3.5695326,-3.7989457,-2.8864357,1.7775748
.66399997,81,2.29,28.5,158,-.40947318,4.3944492,.82855183,5.0625949,3.3499041,-3.7593772,-2.5213523,1.7126908
.70499998,84,2.1900001,29.1,156,-.34955749,4.4308167,.78390157,5.0498562,3.3707383,-3.7202957,-2.5868368,1.6791179
.903,73,1.75,42.799999,176,-.10203273,4.2904596,.55961579,5.1704841,3.7565382,-3.8585708,-3.1969223,1.4139459
1.5039999,99,2.2,36.200001,170,.4081282,4.59512,.78845739,5.1357985,3.5890591,-3.1809309,-2.8006017,1.5467393
1.615,101,1.66,33.400002,192,.47933495,4.6151204,.50681758,5.2574954,3.5085559,-3.0292211,-3.0017383,1.7489395
1.127,119,1.92,22.5,164,.11955921,4.7791233,.65232515,5.0998664,3.1135154,-2.9939561,-2.4611902,1.986351
.71799999,120,1.77,21.299999,175,-.33128572,4.7874918,.57097954,5.1647859,3.058707,-3.3899927,-2.4877274,2.1060789
2.414,122,2.0899999,17.9,180,.88128513,4.8040209,.73716402,5.1929569,2.8848007,-2.0035155,-2.1476367,2.3081563
